t, r_obox_x, r_obox_y, r_obox_phi
1.850000023841857910e-01, 1.760493795188722288e-08, 1.999952346086502075e-01, -2.384289210510814883e-08
1.860000044107437134e-01, 1.760484025226105587e-08, 1.999952346086502075e-01, -2.384249775388980197e-08
1.870000064373016357e-01, 1.760473544720753125e-08, 1.999952346086502075e-01, -2.384207498096202471e-08
1.880000084638595581e-01, 1.760462531308348844e-08, 1.999952346086502075e-01, -2.384162200996797765e-08
1.890000104904174805e-01, 1.760450984988892742e-08, 1.999952346086502075e-01, -2.384113884090766078e-08
1.900000125169754028e-01, 1.760447077003846061e-08, 1.999952346086502075e-01, -2.384004460509459022e-08
1.910000145435333252e-01, 1.760440504483540280e-08, 1.999952346086502075e-01, -2.383938557670717273e-08
1.920000016689300537e-01, 1.760434287234602380e-08, 1.999952346086502075e-01, -2.383916175574540830e-08
1.930000036954879761e-01, 1.760427181807244779e-08, 1.999952346086502075e-01, -2.383890773671737406e-08
1.940000057220458984e-01, 1.760419543472835358e-08, 1.999952346086502075e-01, -2.383862351962307002e-08
1.950000077486038208e-01, 1.760411372231374116e-08, 1.999952346086502075e-01, -2.383831088081933558e-08
1.960000097751617432e-01, 1.760402668082861055e-08, 1.999952346086502075e-01, -2.383796804394933133e-08
1.970000118017196655e-01, 1.760393431027296174e-08, 1.999952346086502075e-01, -2.383759500901305728e-08
1.980000138282775879e-01, 1.760383483428995532e-08, 1.999952346086502075e-01, -2.383719355236735282e-08
1.990000158548355103e-01, 1.760372825287959131e-08, 1.999952346086502075e-01, -2.383676189765537856e-08
2.000000029802322388e-01, 1.760361634239870909e-08, 1.999952346086502075e-01, -2.383630004487713450e-08
2.010000050067901611e-01, 1.760349910284730868e-08, 1.999952346086502075e-01, -2.383580799403262063e-08
2.020000070333480835e-01, 1.760337653422539006e-08, 1.999952346086502075e-01, -2.383528574512183695e-08
2.030000090599060059e-01, 1.760333034894756565e-08, 1.999952346086502075e-01, -2.383415242945829959e-08
2.040000110864639282e-01, 1.760325751831715024e-08, 1.999952346086502075e-01, -2.383345609757725470e-08
2.050000131130218506e-01, 1.760318824040041363e-08, 1.999952346086502075e-01, -2.383319497312186286e-08
2.060000151395797729e-01, 1.760311008069948002e-08, 1.999952346086502075e-01, -2.383290365060020122e-08
2.070000171661376953e-01, 1.760302659192802821e-08, 1.999952346086502075e-01, -2.383258390636910917e-08
2.080000042915344238e-01, 1.760293777408605820e-08, 1.999952346086502075e-01, -2.383223396407174732e-08
2.090000063180923462e-01, 1.760284362717356998e-08, 1.999952346086502075e-01, -2.383185382370811567e-08
2.100000083446502686e-01, 1.760274237483372417e-08, 1.999952346086502075e-01, -2.383144348527821421e-08
2.110000103712081909e-01, 1.760263401706652076e-08, 1.999952346086502075e-01, -2.383100294878204295e-08
2.120000123977661133e-01, 1.760252033022879914e-08, 1.999952346086502075e-01, -2.383053399057644128e-08
